Season_Epi_code,Pitched_Business_Identifier,Pitched_Business_Desc,Deal_Status,Deal_Shark
401,Buggy Beds,bed bug glue traps . bed bug glue traps,1,BC+DJ+KOL+MC+RH
401,CoatChex,a ticketless coat checking system . a ticket-less coat checking system,0,
315,Cougar Limited,an energy drink for women . an energy drink for women,0,
315,Remyxx ReKixx Sneakers,fashionable shoes that are completely recyclable . fashionable shoes that are completely recyclable,1,DJ
315,The NitroForce Titan 1000,a home gym system . a home gym system,0,
315,UniKey Technologies,door locks operated by a smart phone application . door locks operated by a smart phone application,1,KOL+MC
314,Billy Blanks Jr.'s Dance With Me,a new fitness program created by the son of the creator of the best selling fitness DVD ever ,1,DJ+MC
314,CAB20,a rock band . a rock band,0,
314,Mix Bikini,mix and match bikinis . mix and match bikinis,1,BC
314,Wild Squirrel Nut Butter,a line of peanut butters . peanut butter made by college students,1,BC
313,AirBedz,air mattresses for truck beds . air mattresses for truck beds,0,
313,Boot Illusions,interchangeable covers to make heels into boots . interchangeable covers to make heels into boots,1,BC
313,Skyride,a human-powered monorail system . a human powered monorail system,0,
313,Villy Customs,customizable bicycles . customizable bicycles,1,BC+MC
312,Debbie Brooks Handbags,customizable handbags . customizable handbags,0,
312,Lollacup,"spill proof sippy cups . An innovative and stylish straw sippy cup, Lollacup makesÂ it simple for infants and toddlers to drink from the straw, even when the cup has been tilted.Â Lollacup is designed to be an easy to hold,Â effective sippy cup for your young one. Itâ€™s dishwasher safe and no problem to clean. Made in the USA and FDA approved, the Lollacup comes in a variety of colors.",1,MC+RH
312,Nail Pak,"a 3-in-1 nail polish, remover, and file . a 3-in-1 nail polish, remover, and file",1,LG
312,Trimi Tank,tank tops with interchangeable straps . interchangeable tank top straps,0,
311,Blondies Cookies,a cookie business ,0,
311,Copa di Vino,the wine in a glass creator returns to pitch his product again . proprietary container and brand for a single serving of wine by the glass,0,
311,The Sullivan Generator,a machine that produces natural energy from earth's rotation and gold as a by-product ,0,
311,ViewSport,T-Shirts with designs that appear when in contact with water . T-Shirts with logos that appear when in contact with water,0,
310,Bark’em’s To Go,pet food packaged to-go ,0,
310,Brewer’s Cow,beer flavored ice cream ,0,
310,GoGo Gear,fashionable motorcycle and scooter protective riding apparel . fashionable motorcycle and scooter protective riding apparel,1,DJ
310,The Ave Venice,customized shoe designs . customized shoe designs,0,
309,Instant Lifts,clear adhesives that improve the look of sagging skin . clear adhesives that improve the look of sagging skin,0,
309,MisoMedia,software for learning to play instruments ,1,MC
309,Tower Paddle Boards,a paddle board company ,1,MC
309,Vinamor,a wine aerator . a unique wine aerator,0,
308,Litter,a line of body jewelry ,1,DJ+MC
308,Nardo's Natural,a line of skin care products ,1,BC
308,Rent-A-Grandma,a babysitting service staffed by older women . babysitting service,0,
308,The Original Profender,a basketball training device . a basketball training device,0,
307,Kisstixx,flavored mix-and-match lip balms ,1,MC
307,Technology Enabled Clothing,clothing designed for portable electronics ,0,
307,The Heat Helper,a laundry dryer heat-recycling device . a laundry dryer heat-recycling device,0,
307,The Smart Baker,a line of home baking products ,1,BC
306,Esso Watches,a wristwatch with alleged health benefits . a wristwatch with supposed health benefits,0,
306,Five Minute Furniture,an easy-assembly furniture line . an easy-assembly furniture line,0,
306,Readerest Specsecure,a magnet that allows you to attach your glasses to your shirt so you won't lose them ,1,LG
306,The Painted Pretzel,a candy pretzel business . a candy pretzel business,1,MC
305,Ledge Pillow,a pillow for woman with large breasts . a pillow for woman with breast implants or large breasts,0,
305,M3 Girl Designs,a jewelry line for kids . two sisters and their mother who created a jewelry line for kids,1,LG+MC+RH
305,Talbott Teas,premium teas . premium teas,1,KOL
305,The Last Lid,a universal garbage can lid . a universal garbage can lid,1,DJ
304,Puppy Cake,a cake mix for dogs . a cake mix for dogs,0,
304,Show No,a towel that provides coverage to change out of a swimsuit in public . a towel that provides coverage to change out of a swimsuit in public,1,LG
304,The Swilt,a sweater and quilt combination . a sweater and quilt combination,0,
304,Wine Balloon,a way to keep wine good for longer . a way to keep wine good for longer,1,LG+MC
303,Chord Buddy,"a system for learning to play guitar . Is learning to play the guitar intimidating? Chord Buddy is the perfect teacher. EssentiallyÂ training wheels for your Guitar, Chord buddy teaches you how to play the instrument in just a short amount of time. Within weeks you will notice progress and gain some confidence to remove some tabs. It is promised that if you follow through with Chord BuddyÂ you can take off the contraption entirely and play like a free bird. I didnâ€™t say the song literally..",1,RH
303,Liquid Money,a fragrance that smells like money . a fragrance that smells like money,0,
303,Tail Lightz,a blinking accessory for jeans . a blinking accessory for jeans,0,
303,You Smell Soap,luxury soap . a way to keep wine good for longer,1,RH
302,I Want To Draw A Cat For You,an online service that creates and delivers custom cat drawings . an online service that creates and delivers custom cat drawings,1,MC
302,Invis-A-Rack,"a collapsable cargo rack for truck beds . Invis-A-Rack is a cargo management system designed toÂ beÂ a functional ladder rack that folds down sleekly when not in use. The invis-a-rack is light weight, durable and has non rusting strength. Itâ€™s high quality build is designed to withstand the tough labor work enviornment and last the lifetime of your truck.",0,
302,Salespreneur,a company that teaches how to become a good sales rep . a company that teaches how to become a good sales repÂ ,0,
302,Vegas Magic Show,a magic show act . a magic show act,0,
301,Business Ghost,a ghost writing service . a ghost writing service,0,
301,EZ VIP,a club reservation service . club reservation service,1,DJ+MC
301,My Wonderful Life,a funeral planning service . funeral planning service,0,
301,The Clean Bottle,easy to clean water bottles ,1,MC
208,Aldo Orta Jewelry,mass market versions of custom jewelry . mass market versions of custom jewelry,1,BC
208,CitiKitty,a toilet training product for cats ,1,Others
208,One Sole,shoes with replaceable tops ,1,DJ
208,Samson Martin,T-shirts for expecting moms . T-shirts for expecting moms,0,
207,Caddy Swag,a drink cooler designed for golf bags ,0,
207,Daisy Cakes,mail-order cakes . mail-order cakes,1,BC
207,Hot Mama Gowns,luxury maternity gowns . luxury maternity gowns,0,
207,Sweep Easy,a broom with a built-in scraper ,1,DJ
206,Fitness Stride,an exercise device . exercise device,0,
206,Flipoutz,armbands you personalize with coins . armbands you personalize with coins,1,DJ+KOL+RH
206,Mod Mom Furniture,modernized toy boxes . modernized toy boxes,1,RH
206,Pure Ayre,a more effective odor remover . a more effective odor remover,0,
205,CBS Foods,shrimp-based burgers ,0,
205,Copa di Vino,a proprietary container for a single serving of wine by the glass . proprietary container and brand for a single serving of wine by the glass,0,
205,Tippi Toes,a children's exercise program franchise . a childrenâ€™s exercise program franchise,1,MC
205,Wurkin Stiffs,magnetic collar-stays . magnetic collar-stays,1,BC+DJ
204,HyConn,a connector for fire hydrant hoses that is faster and easier to use ,1,MC
204,Man Candle,masculine scented candles ,0,
204,Origaudio,innovative portable speakers . innovative portable speakers,1,RH
204,Original Runner Company,aisle runners for weddings and special events . aisle runners for weddings and special events,0,
203,Broccoli Wad,a mafia-inspired money clip . mafia-inspired money clip,1,BC
203,Hillbilly Brand,"a specialty clothing brand marketed towards ""rednecks"" and ""hillbillies"". specialty clothing brand marketed towards",1,DJ+RH
203,Ride-On Carry-On,luggage with a built-in child chair ,1,BC
203,Uncle Zip's Beef Jerky,beef jerky made without preservatives ,0,
202,First Defense Nasal Screen,a personal air filtration system . personal air filtration system,1,DJ+KOL+MC
202,Toygaroo,a toy subscription service . toy subscription service,1,KOL+MC
202,Vurtego,extreme pogo sticks ,0,
202,Wake n' Bacon,an alarm clock that wakes you up with fresh bacon ,0,
201,Carsik Bib,a bib for carsick children ,0,
201,Ecomowers,an eco-friendly manual lawn mower that doesn't require blade sharpening ,0,
201,Games2U,mobile party games franchise ,0,
201,Hydromax,a hydration system for football players ,1,Others
115,Fridge Fronts,magnetic decorative covers for refrigerators . magnetic decorative finish for refrigerators,1,BC
115,Lightfilm,light-up decals for car windows . light-upÂ decalÂ for carÂ windows,1,DJ+RH
115,New Era Brands,clip-on gum and contact lens cases . clip-on gum and clip-on contact lens cases,0,
115,Thin Gloss,weight loss lip gloss . weight lossÂ lip gloss,0,
114,Caffeindicator,a decaf coffee testing system incorporated onto sweetener packets . a decaf coffee testing system incorporated onto sweetener packets,1,Others
114,Captain Ice Cream,an ice cream vending business . an ice cream vending business,0,
114,Legal Grind,a coffee shop that provides legal services . a coffee shop that provides legal services,0,
114,Lipstix Remix,a lipstick mold that combines used lipsticks into a new stick . a lipstick mold that combines used lipsticks into a new stick,1,BC+DJ
113,Grease Monkey Wipes,more effective cleaning and degreasing wet wipes . more effective cleaning and degreasing wet wipes,1,BC+RH
113,Podillow,a more comfortable tanning and massage pillow ,0,
113,The Factionist,an environmentally friendly T-shirt line . an environmentally friendly T-shirt line,0,
113,Wee Can Shop,a gift shop for children . a gift shop for children,0,
112,Hells Bells,a helmet company that has a patented method to produce 3-D designs ,1,DJ
112,Ink Flip,a mail-order printer ink refill service . a mail-order printer ink refill service,0,
112,Romp n' Roll,a children's entertainment center franchise ,0,
112,The Chef in Black,a dried Chinese salad dressing ,1,BC
111,Jump Forward,a technological solution for sports recruiting from high school to college . a technological solution for sports recruiting from high school to college,1,KOL+RH
111,Mr. Poncho,a poncho for mobile devices to avoid tangled headphones . a poncho created for iPhones and Blackberries as a solution to tangled headphones,0,
111,The Bobble Place,a custom bobble head doll company . a custom bobble head doll company,0,
111,Uroclub,a urologist who created a solution to bladder problems on a golf course ,1,Others
110,Llama Brew,liquid llama fertilizer . liquid llama fertilizer,0,
110,Nubrella,a wearable umbrella . new wearable design for an umbrella,1,DJ
110,Pillars of Slippers,an in-home shoe party franchise . in home shoe party franchise,0,
110,Qubits,a bendable construction toy . bendable construction toy,1,DJ
110,Send A Ball,greeting balls sent in the mail ,0,
109,Chill Soda,a healthy soda ,1,BC
109,Cornucopia,a veterinarian who created pet food he claims could extend a pet's life ,0,
109,Gayla Bentley Fashion,a fashion line for women over size 12 . a fashion line for women over size 12,1,BC+DJ
109,VirtuSphere,"a large sphere one can walk in to experience virtual reality environments . a large sphere used in simulating environments, which can be used in military training or for entertainment purposes",0,
108,Notehall,a website that buys and sells college class notes and study guides . a website that buys and sells college class notes and study guides,1,BC
108,Throx,a company that sells socks in sets of threes . a company that sells socks in sets of threes,0,
108,Treasure Chest Pets,an organizer for children designed like a stuffed toy . an organizer for children designed like a stuffed toy,1,BC+DJ
108,Washed Up Hollywood,a belt and belt buckle manufacturer . a belt and belt buckle manufacturer,0,
107,Boogie Box Fitness,"aerobics fitness programs, classes, and DVDs . a line of new aerobics fitness programs, classes and DVDs",0,
107,FunHouse,"an entertainment venue in Times Square, New York ",0,
107,Grill Charms,stainless steel tags that identify different cooking specifications of various meats when on the grill . stainless steel tags that identify different cooking specifications of various meats when on the grill,1,RH
107,Soy-Yer-Dough,soybean based modeling dough for those with a wheat allergy . a line of soybean based modeling dough aimed at those with a wheat allergy,1,DJ+KOL+RH
106,Element Bars,"a company that manufactures custom energy bars . Element Bars Custom Whole Food Bars lets you create your own custom energy bar by selecting the natural ingredients you prefer. The organic ingredients are hand selected and only the highest of quality make the cut. Element Bars are healthy and taste absolutely delicious. Choose your core granola flavor, fruits, nuts, sweets, boosts and name your bar what you want today!",1,Others
106,Kalyx,a line of sports bras ,0,
106,Pork Barrel BBQ,a barbecue sauce and spice rub . a new brand of barbecue sauce and spice rub. award winning sample pack.,1,BC
106,The Fizz,a reinvention of the root beer float that screws onto soda bottles . a reinvention of the root beer float that screws onto soda bottles,0,
106,Underease Underwear,protective underwear for flatulance . protective underwear for flatulance,0,
105,Body Jac,a fitness machine to make pushups easier . a fitness machine to make pushups easier,1,BC
105,Face Blok,a line of stylized surgical face masks . a line of stylized surgical face masks,0,
105,Good Grief Celebrations,a funeral concierge service . a funeral concierge service,0,
105,Granola Gourmet,a line of granola bars that diabetics can eat . a line of granola bars that diabetics can eat,0,
105,My Therapy Journal,a web site that allows people to write in a journal and gauge their emotional state . a web site that allows people to write in a journal and gauge their emotional state,1,KOL+RH
104,Coffee Brand Gifts,on plush toys . a company that holds the patents to put the words,0,
104,Coverplay,a slip cover for children's travel play yards ,1,BC
104,Gift Card Rescue,a web site that buys and resells unused gift cards . a web site that buys and resells unused gift cards,1,KOL+RH
104,Graffiti Removal Services,a graffiti removal service franchise ,0,
104,Soul's Calling,a line of inspirational accessories and gift items ,0,
103,50 State Capitals in 50 Minutes,flashcards to help memorize the USA States and their capitals . a deck of flashcards to help memorize the 50 USA States,0,
103,Kwyzta Chopstick Art,household items made from recycled chopsticks ,0,
103,Stress Free Kids,a line of books that use stress relieving techniques to calm kids to sleep . a line of books that use stress relieving techniques to calm kids to sleep,1,BC
103,Turbobaster,a cooking device for basting ,1,Others
103,Voyage Air Guitar,a guitar design that folds the guitar into a backpack . a guitar design that folds the guitar into a backpack,0,
102,A Perfect Pear,a gourmet food business . a gourmet food business,1,RH
102,Classroom Jams,a musical way to teach students Shakespeare . Who hasnâ€™t had to study Shakespeare? Marc Furigay created Classroom Jams â€“ a musical way to teach Shakespeare to high school kids. What better way to learn Ye Olde English than with music. And he get a deal with ALL the Sharks!,1,BC+DJ+KOL+RH
102,Crooked Jaw,a mixed martial arts clothing line . a mixed martial arts clothing line,0,
102,Lifebelt,a device that prevents the car from starting without the seat belt being fastened . a device that prevents the car from starting without the seat belt being fastened,0,
102,Sticky Note Holder,a Post-It note arm for laptops . a Post-It note arm for laptops,0,
101,Ava the Elephant," (Emmy the Elephant during show, trademarked as Ava after) a plastic elephant-shaped device that helps parents give small children oral medicine . (Emmy the Elephant during show, trademarked as Ava after) a plastic elephant shaped device that lets parents easily give small children oral medicine",1,BC
101,College Foxes Packing Boxes,a packing and organizing service based on an already successful business called College Hunks Hauling Junk . a spinoff professional packing and organizing service based on an already successful junk removal and moving business called College Hunks Hauling Junk,0,
101,Ionic Ear,an implantable Bluetooth device requiring surgery to insert the device into the user's head . an implantable Bluetooth device requiring surgery into your head,0,
101,Mr. Tod's Pie Factory,a pie company ,1,BC+DJ
101,Wispots,an electronic hand-held device for waiting rooms . an electronic hand-held device for waiting rooms,0,
